,,input,UI,Side effect,output,UI,,
app,----,background,-,Toggle location services - update location to server,foreground,login,,
,,foreground,login,Toggle location services - update location to server,background,-,,
authentication,,noAuth,login,Check user exists on server + password match,auth,main,,
,,noAuth,login,->,register,registration,,
,,auth,main,Splash screen or loading screen - check driver/passenger status + animated sequence for all UI objects,dashboard,main,,
,,,,,,,,
main,----,dashboard,main,Send request of closest drivers by distance and list profiles,booking,book,,
,,booking,book,load maps using current list of drivers with markers on map,locate,map,,
,,booking,book,Modal loading of selected driver profile,profile,profile,,
,,profile,profile,Cancel modal window,booking,book,,
,,profile,profile,Request seat + send current estimated reaching to driver by foot,bookSeat,main,,
,,dashboard,main,Load map for own location and driver/passenger location depending on own user type,locate,map,,
,,locate,locate,Open profile of driver tapped on by user as modal window,booking,book,,
,,dashboard,main,request a list of drivers used by passenger by most recent,history,history,,
,,dashboard,main,load modal window of request from passenger,bookingRequest,book,,
,,bookingRequest,book,send handshake with selected user and add tuple to bookings table,accept,confirm,,
,,bookingRequest,book,Reject passenger and notify,dashboard,main,,
,,accept,confirm,"Pressed ok, load map with distance estimator with passenger",locate,map,,
notifications,,dashboard,notificationBar,Opens modal window confirming driver has accepted the booking + decrease seat availability for given driver id,accept,confirm,,
,,dashboard,notificationBar,opens modal window notifying driver has rejected the booking,reject,confirm,,
,,reject,confirm,After pressing ok suggests next set of closest drivers + send location/distance list,booking,book,,
,,dashboard,main,opens modal window with arrival metrics + optional rating + increase seat availability for driver id,arrived,confirm,,
,,arrived,confirm,Pressed ok + send rating or review destined to driver id,dashboard,main,,
,,dashboard,main,opens modal window about new reward points,score,reward,,
,,score,reward,Gets the selected reward + decrease points for driver,claim,reward,,
,,claim,reward,->,dashboard,main,,
